"Step","Name: ppo_me_neg30p10 - Training/objective_proportion","Name: ppo_me_neg30p10 - Training/objective_proportion__MIN","Name: ppo_me_neg30p10 - Training/objective_proportion__MAX","Name: ppo_me_neg30p100 - Training/objective_proportion","Name: ppo_me_neg30p100 - Training/objective_proportion__MIN","Name: ppo_me_neg30p100 - Training/objective_proportion__MAX","Name: ppo_me30 - Training/objective_proportion","Name: ppo_me30 - Training/objective_proportion__MIN","Name: ppo_me30 - Training/objective_proportion__MAX"
"148","0.042505592841163314","0.033557046979865765","0.06040268456375841","0.0715883668903803","0.06711409395973153","0.08053691275167786","0.0447427293064877","0.040268456375838924","0.05369127516778524"
"149","0.042222222222222223","0.033333333333333326","0.060000000000000026","0.07111111111111111","0.06666666666666665","0.08000000000000002","0.044444444444444446","0.04","0.05333333333333334"
"150","0.041942604856512154","0.03311258278145695","0.05960264900662254","0.0728476821192053","0.0662251655629139","0.0794701986754967","0.04415011037527594","0.039735099337748346","0.05298013245033113"
"151","0.04166666666666668","0.03289473684210526","0.0592105263157895","0.07236842105263158","0.06578947368421052","0.07894736842105265","0.04385964912280702","0.03947368421052632","0.052631578947368425"
"152","0.04357298474945534","0.0326797385620915","0.06535947712418302","0.07189542483660132","0.065359477124183","0.07843137254901963","0.04357298474945534","0.03921568627450981","0.05228758169934641"
"153","0.043290043290043295","0.032467532467532464","0.06493506493506496","0.07142857142857144","0.06493506493506493","0.07792207792207795","0.043290043290043295","0.03896103896103897","0.05194805194805195"
"154","0.04516129032258065","0.03225806451612904","0.06451612903225809","0.07096774193548389","0.06451612903225806","0.07741935483870971","0.04301075268817205","0.03870967741935485","0.05161290322580646"
"155","0.04487179487179488","0.032051282051282055","0.06410256410256412","0.07264957264957266","0.07051282051282051","0.07692307692307696","0.04273504273504274","0.03846153846153847","0.05128205128205129"
"156","0.04458598726114651","0.03184713375796179","0.0636942675159236","0.07218683651804672","0.07006369426751592","0.07643312101910832","0.04246284501061572","0.03821656050955415","0.050955414012738856"
"157","0.044303797468354444","0.031645569620253174","0.06329113924050636","0.07172995780590719","0.06962025316455696","0.07594936708860764","0.04219409282700423","0.03797468354430381","0.05063291139240506"
"158","0.044025157232704414","0.03144654088050315","0.06289308176100632","0.07127882599580714","0.06918238993710692","0.07547169811320759","0.0419287211740042","0.037735849056603786","0.050314465408805034"
"159","0.04375000000000001","0.03125000000000001","0.06250000000000003","0.07083333333333335","0.06874999999999999","0.07500000000000004","0.04166666666666668","0.03750000000000001","0.05"
"160","0.04347826086956522","0.03105590062111802","0.06211180124223605","0.07039337474120083","0.06832298136645962","0.07453416149068327","0.04140786749482403","0.03726708074534163","0.04968944099378882"
"161","0.04320987654320988","0.030864197530864203","0.06172839506172842","0.0720164609053498","0.06790123456790123","0.07407407407407411","0.041152263374485604","0.03703703703703705","0.04938271604938272"
